year,viv_type,risk,age_bin,mean,sd
2033,tavi_in_tavi,ih,75-79,221.75,14.860314511086933
2033,tavi_in_tavi,ih,80-84,1.1428571428571428,0.3779644730092272
2033,tavi_in_tavi,ih,85-99,1.0,0.0
2033,tavi_in_tavi,ih,<60,1.4166666666666667,0.5149286505444373
2033,tavi_in_tavi,low,60-64,2.5555555555555554,1.247219128924647
2033,tavi_in_tavi,low,65-69,3.9473684210526314,1.8995228702237106
2033,tavi_in_tavi,low,70-74,4.45,2.1144863753590246
2033,tavi_in_tavi,low,75-79,321.75,21.043501309630514
2033,tavi_in_tavi,low,80-84,1.5,0.5345224838248488
2033,tavi_in_tavi,low,85-99,1.0,0.0
2033,tavi_in_tavi,low,<60,3.75,1.8883298106221302
2034,tavi_in_savr,ih,60-64,1.1428571428571428,0.3779644730092272
2034,tavi_in_savr,ih,65-69,1.0,0.0
2034,tavi_in_savr,ih,70-74,1.0,
2034,tavi_in_savr,ih,75-79,21.65,3.437793049709592
2034,tavi_in_savr,ih,<60,2.2,1.5761378513048245
2034,tavi_in_savr,low,60-64,94.65,9.884996605701835
2034,tavi_in_savr,low,65-69,79.75,8.032008335076403
2034,tavi_in_savr,low,70-74,49.3,7.116326669227454
2034,tavi_in_savr,low,75-79,163.95,15.736230405291508
2034,tavi_in_savr,low,80-84,1.0,0.0
2034,tavi_in_savr,low,<60,173.1,8.245572974888425
2034,tavi_in_tavi,ih,60-64,1.0,
2034,tavi_in_tavi,ih,65-69,1.0,
2034,tavi_in_tavi,ih,70-74,1.0,0.0
2034,tavi_in_tavi,ih,75-79,236.45,17.455130447732795
2034,tavi_in_tavi,ih,<60,1.0,0.0
2034,tavi_in_tavi,low,60-64,2.5,1.5055453054181622
2034,tavi_in_tavi,low,65-69,3.05,1.5719582155957414
2034,tavi_in_tavi,low,70-74,4.1,1.8609561775433732
2034,tavi_in_tavi,low,75-79,363.75,11.827154304707811
2034,tavi_in_tavi,low,80-84,1.3333333333333333,0.5163977794943222
2034,tavi_in_tavi,low,<60,2.526315789473684,1.3485968449808852
2035,tavi_in_savr,ih,60-64,1.0,0.0
2035,tavi_in_savr,ih,65-69,1.0,
2035,tavi_in_savr,ih,75-79,20.95,3.7342652345682756
2035,tavi_in_savr,ih,<60,1.5555555555555556,0.7264831572567789
2035,tavi_in_savr,low,60-64,71.6,7.5491372807898065
2035,tavi_in_savr,low,65-69,63.95,8.035939011059856
2035,tavi_in_savr,low,70-74,44.7,5.016813834759226
2035,tavi_in_savr,low,75-79,188.35,14.7301159462332
2035,tavi_in_savr,low,80-84,1.0,
2035,tavi_in_savr,low,<60,141.55,13.068543993317045
2035,tavi_in_tavi,ih,70-74,1.0,
2035,tavi_in_tavi,ih,75-79,248.6,13.14854404587503
2035,tavi_in_tavi,ih,80-84,1.0,
2035,tavi_in_tavi,ih,<60,1.0,0.0
2035,tavi_in_tavi,low,60-64,2.3125,1.138346754435279
2035,tavi_in_tavi,low,65-69,2.6315789473684212,1.4224597754824202
2035,tavi_in_tavi,low,70-74,3.1,1.3726654823065192
2035,tavi_in_tavi,low,75-79,404.95,21.619861726029416
2035,tavi_in_tavi,low,80-84,1.0,0.0
2035,tavi_in_tavi,low,<60,2.3,1.1285761872936695
