year,sex,age_band,population
2048,Men,60-64,1634000
2048,Men,65-69,1877000
2048,Men,70-74,1697000
2048,Men,75-79,1729000
2048,Men,80-84,1302000
2048,Men,≥85,1413000
2048,Women,0-4,569000
2048,Women,10-14,605000
2048,Women,15-19,662000
2048,Women,20-24,750000
2048,Women,25-29,837000
2048,Women,30-34,1123000
2048,Women,35-39,1230000
2048,Women,40-44,1198000
2048,Women,45-49,1374000
2048,Women,5-9,583000
2048,Women,50-54,1603000
2048,Women,55-59,1576000
2048,Women,60-64,1560000
2048,Women,65-69,1903000
2048,Women,70-74,1819000
2048,Women,75-79,1982000
2048,Women,80-84,1660000
2048,Women,≥85,2511000
2049,Men,0-4,592000
2049,Men,10-14,623000
2049,Men,15-19,682000
2049,Men,20-24,781000
2049,Men,25-29,818000
2049,Men,30-34,1085000
2049,Men,35-39,1256000
2049,Men,40-44,1232000
2049,Men,45-49,1400000
2049,Men,5-9,610000
2049,Men,50-54,1735000
2049,Men,55-59,1801000
2049,Men,60-64,1606000
2049,Men,65-69,1853000
2049,Men,70-74,1669000
2049,Men,75-79,1716000
2049,Men,80-84,1337000
2049,Men,≥85,1455000
2049,Women,0-4,561000
2049,Women,10-14,598000
2049,Women,15-19,657000
2049,Women,20-24,757000
2049,Women,25-29,801000
2049,Women,30-34,1062000
2049,Women,35-39,1224000
2049,Women,40-44,1194000
2049,Women,45-49,1313000
2049,Women,5-9,583000
2049,Women,50-54,1575000
2049,Women,55-59,1603000
2049,Women,60-64,1516000
2049,Women,65-69,1870000
2049,Women,70-74,1780000
2049,Women,75-79,1957000
2049,Women,80-84,1708000
2049,Women,≥85,2586000
2050,Men,0-4,581000
2050,Men,10-14,617000
2050,Men,15-19,675000
2050,Men,20-24,785000
2050,Men,25-29,797000
2050,Men,30-34,1008000
2050,Men,35-39,1245000
2050,Men,40-44,1231000
