year,sex,age_band,population
2045,Men,65-69,660000
2045,Men,70-74,733000
2045,Men,75-79,602000
2045,Men,80-84,308000
2045,Men,≥85,164000
2045,Women,0-4,635000
2045,Women,10-14,679000
2045,Women,15-19,752000
2045,Women,20-24,801000
2045,Women,25-29,802000
2045,Women,30-34,771000
2045,Women,35-39,770000
2045,Women,40-44,837000
2045,Women,45-49,924000
2045,Women,5-9,635000
2045,Women,50-54,941000
2045,Women,55-59,872000
2045,Women,60-64,795000
2045,Women,65-69,704000
2045,Women,70-74,829000
2045,Women,75-79,740000
2045,Women,80-84,428000
2045,Women,≥85,286000
2046,Men,0-4,675000
2046,Men,10-14,705000
2046,Men,15-19,779000
2046,Men,20-24,836000
2046,Men,25-29,845000
2046,Men,30-34,813000
2046,Men,35-39,796000
2046,Men,40-44,839000
2046,Men,45-49,930000
2046,Men,5-9,669000
2046,Men,50-54,951000
2046,Men,55-59,879000
2046,Men,60-64,786000
2046,Men,65-69,659000
2046,Men,70-74,695000
2046,Men,75-79,618000
2046,Men,80-84,326000
2046,Men,≥85,172000
2046,Women,0-4,637000
2046,Women,10-14,666000
2046,Women,15-19,736000
2046,Women,20-24,793000
2046,Women,25-29,804000
2046,Women,30-34,778000
2046,Women,35-39,766000
2046,Women,40-44,814000
2046,Women,45-49,909000
2046,Women,5-9,631000
2046,Women,50-54,941000
2046,Women,55-59,884000
2046,Women,60-64,807000
2046,Women,65-69,702000
2046,Women,70-74,785000
2046,Women,75-79,758000
2046,Women,80-84,450000
2046,Women,≥85,298000
2047,Men,0-4,677000
2047,Men,10-14,694000
2047,Men,15-19,762000
2047,Men,20-24,826000
2047,Men,25-29,845000
2047,Men,30-34,821000
2047,Men,35-39,794000
2047,Men,40-44,821000
2047,Men,45-49,913000
2047,Men,5-9,667000
2047,Men,50-54,949000
2047,Men,55-59,892000
2047,Men,60-64,796000
2047,Men,65-69,671000
2047,Men,70-74,649000
2047,Men,75-79,627000
2047,Men,80-84,349000
2047,Men,≥85,178000
2047,Women,0-4,639000
2047,Women,10-14,655000
2047,Women,15-19,720000
2047,Women,20-24,782000
2047,Women,25-29,805000
2047,Women,30-34,785000
2047,Women,35-39,763000
2047,Women,40-44,795000
2047,Women,45-49,892000
2047,Women,5-9,630000
2047,Women,50-54,938000
2047,Women,55-59,897000
2047,Women,60-64,816000
2047,Women,65-69,713000
2047,Women,70-74,732000
2047,Women,75-79,766000
2047,Women,80-84,481000
2047,Women,≥85,309000
2048,Men,0-4,678000
2048,Men,10-14,684000
2048,Men,15-19,745000
2048,Men,20-24,814000
2048,Men,25-29,844000
2048,Men,30-34,827000
2048,Men,35-39,792000
2048,Men,40-44,807000
2048,Men,45-49,895000
2048,Men,5-9,667000
2048,Men,50-54,944000
2048,Men,55-59,905000
2048,Men,60-64,806000
2048,Men,65-69,686000
2048,Men,70-74,611000
2048,Men,75-79,624000
2048,Men,80-84,372000
2048,Men,≥85,189000
2048,Women,0-4,640000
2048,Women,10-14,646000
2048,Women,15-19,704000
2048,Women,20-24,770000
2048,Women,25-29,803000
2048,Women,30-34,791000
2048,Women,35-39,762000
2048,Women,40-44,781000
2048,Women,45-49,874000
2048,Women,5-9,630000
2048,Women,50-54,932000
2048,Women,55-59,909000
2048,Women,60-64,826000
2048,Women,65-69,728000
2048,Women,70-74,686000
2048,Women,75-79,761000
2048,Women,80-84,510000
2048,Women,≥85,326000
2049,Men,0-4,679000
2049,Men,10-14,676000
2049,Men,15-19,729000
2049,Men,20-24,799000
2049,Men,25-29,841000
2049,Men,30-34,833000
2049,Men,35-39,794000
2049,Men,40-44,797000
2049,Men,45-49,874000
2049,Men,5-9,668000
2049,Men,50-54,936000
2049,Men,55-59,914000
2049,Men,60-64,816000
2049,Men,65-69,701000
2049,Men,70-74,590000
