year,age,sex,population
2028,15,Men,165200
2028,16,Men,165200
2028,17,Men,165200
2028,18,Men,165200
2028,19,Men,165200
2028,20,Men,167000
2028,21,Men,167000
2028,22,Men,167000
2028,23,Men,167000
2028,24,Men,167000
2028,25,Men,186200
2028,26,Men,186200
2028,27,Men,186200
2028,28,Men,186200
2028,29,Men,186200
2028,30,Men,199800
2028,31,Men,199800
2028,32,Men,199800
2028,33,Men,199800
2028,34,Men,199800
2028,35,Men,196600
2028,36,Men,196600
2028,37,Men,196600
2028,38,Men,196600
2028,39,Men,196600
2028,40,Men,182000
2028,41,Men,182000
2028,42,Men,182000
2028,43,Men,182000
2028,44,Men,182000
2028,45,Men,166000
2028,46,Men,166000
2028,47,Men,166000
2028,48,Men,166000
2028,49,Men,166000
2028,50,Men,166800
2028,51,Men,166800
2028,52,Men,166800
2028,53,Men,166800
2028,54,Men,166800
2028,55,Men,209000
2028,56,Men,209000
2028,57,Men,209000
2028,58,Men,209000
2028,59,Men,209000
2028,60,Men,179000
2028,61,Men,179000
2028,62,Men,179000
2028,63,Men,179000
2028,64,Men,179000
2028,65,Men,129400
2028,66,Men,129400
2028,67,Men,129400
2028,68,Men,129400
2028,69,Men,129400
2028,70,Men,93000
2028,71,Men,93000
2028,72,Men,93000
2028,73,Men,93000
2028,74,Men,93000
2028,75,Men,47400
2028,76,Men,47400
2028,77,Men,47400
2028,78,Men,47400
2028,79,Men,47400
2028,80,Men,33400
2028,81,Men,33400
2028,82,Men,33400
2028,83,Men,33400
2028,84,Men,33400
2028,85,Men,13200
2028,86,Men,13200
2028,87,Men,13200
2028,88,Men,13200
2028,89,Men,13200
2028,90,Men,2800
2028,91,Men,2800
2028,92,Men,2800
2028,93,Men,2800
2028,94,Men,2800
2028,95,Men,200
2028,96,Men,200
2028,97,Men,200
2028,98,Men,200
2028,99,Men,200
2029,0,Men,164600
2029,1,Men,164600
2029,2,Men,164600
2029,3,Men,164600
2029,4,Men,164600
2029,5,Men,174200
2029,6,Men,174200
2029,7,Men,174200
2029,8,Men,174200
2029,9,Men,174200
2029,10,Men,173200
2029,11,Men,173200
2029,12,Men,173200
2029,13,Men,173200
2029,14,Men,173200
2029,15,Men,165400
2029,16,Men,165400
2029,17,Men,165400
2029,18,Men,165400
2029,19,Men,165400
2029,20,Men,165000
2029,21,Men,165000
2029,22,Men,165000
2029,23,Men,165000
2029,24,Men,165000
2029,25,Men,181600
2029,26,Men,181600
2029,27,Men,181600
2029,28,Men,181600
2029,29,Men,181600
2029,30,Men,198000
2029,31,Men,198000
2029,32,Men,198000
2029,33,Men,198000
2029,34,Men,198000
2029,35,Men,198600
2029,36,Men,198600
2029,37,Men,198600
2029,38,Men,198600
2029,39,Men,198600
2029,40,Men,184000
2029,41,Men,184000
2029,42,Men,184000
2029,43,Men,184000
2029,44,Men,184000
2029,45,Men,169200
2029,46,Men,169200
2029,47,Men,169200
2029,48,Men,169200
2029,49,Men,169200
2029,50,Men,160400
2029,51,Men,160400
2029,52,Men,160400
2029,53,Men,160400
2029,54,Men,160400
2029,55,Men,203000
2029,56,Men,203000
2029,57,Men,203000
2029,58,Men,203000
2029,59,Men,203000
2029,60,Men,186200
2029,61,Men,186200
2029,62,Men,186200
2029,63,Men,186200
2029,64,Men,186200
2029,65,Men,133000
2029,66,Men,133000
2029,67,Men,133000
2029,68,Men,133000
2029,69,Men,133000
2029,70,Men,100400
2029,71,Men,100400
2029,72,Men,100400
2029,73,Men,100400
2029,74,Men,100400
2029,75,Men,48200
2029,76,Men,48200
2029,77,Men,48200
2029,78,Men,48200
2029,79,Men,48200
2029,80,Men,33600
